scenario_id,scenario_category,timestamp_offset_s,message_type,criticality,criticality_rank,latency_budget_ms,observed_packet_rate_hz,replay_attempt_count,auth_failure_count,integrity_failure_count,aad_tamper_count,transcript_anomaly_count,routing_error_count,channel_bit_error_rate,prior_security_events_window,anomaly_score_raw,threat_level,threat_level_numeric,threat_score,confidence,recommended_min_assurance
SCN-00001,NORMAL_TELEMETRY,715.82,AIRCRAFT_STATUS,ROUTINE,1,2000.0,18.47,0,0,0,0,0,0,6e-06,0,2.62,NORMAL,0,7.58,0.854,STANDARD
SCN-00002,NORMAL_TELEMETRY,348.18,ALTITUDE,CRITICAL,3,3000.0,37.41,0,0,0,0,0,0,3.1e-05,0,11.49,NORMAL,0,5.05,0.863,STANDARD
SCN-00003,NORMAL_TELEMETRY,2536.46,FLIGHT_CONTROL,IMPORTANT,2,2000.0,49.39,0,0,0,0,0,0,0.000166,0,7.42,NORMAL,0,12.93,0.931,STANDARD
SCN-00004,NORMAL_TELEMETRY,961.12,ALTITUDE,ROUTINE,1,2000.0,59.19,0,0,0,0,0,0,0.000127,0,4.38,NORMAL,0,5.55,0.879,STANDARD
SCN-00005,NORMAL_TELEMETRY,3034.27,FLIGHT_CONTROL,ROUTINE,1,1000.0,34.38,0,0,0,0,0,0,0.000198,0,7.68,NORMAL,0,8.35,0.946,STANDARD
SCN-00006,NORMAL_TELEMETRY,514.34,ALTITUDE,ROUTINE,1,500.0,49.28,0,0,0,0,0,0,4.3e-05,0,5.99,NORMAL,0,13.27,0.94,STANDARD
SCN-00007,NORMAL_TELEMETRY,2258.81,ALTITUDE,ROUTINE,1,2000.0,46.09,0,0,0,0,0,0,0.000102,0,1.09,NORMAL,0,0.71,0.865,STANDARD
SCN-00008,NORMAL_TELEMETRY,11.68,FLIGHT_CONTROL,CRITICAL,3,200.0,26.16,0,0,0,0,0,0,0.000154,0,4.08,NORMAL,0,4.4,0.872,STANDARD
SCN-00009,NORMAL_TELEMETRY,2.06,FLIGHT_CONTROL,IMPORTANT,2,1000.0,32.92,0,0,0,0,0,0,0.000153,0,6.47,NORMAL,0,11.68,0.924,STANDARD
SCN-00010,NORMAL_TELEMETRY,249.17,NAVIGATION_UPDATE,IMPORTANT,2,500.0,11.15,0,0,0,0,0,0,0.000176,0,11.36,NORMAL,0,1.28,0.918,STANDARD
SCN-00011,NORMAL_TELEMETRY,3238.61,ALTITUDE,ROUTINE,1,5000.0,57.08,0,0,0,0,0,0,0.000143,0,4.79,NORMAL,0,10.08,0.902,STANDARD
SCN-00012,NORMAL_TELEMETRY,3094.69,AIRCRAFT_STATUS,CRITICAL,3,500.0,17.36,0,0,0,0,0,0,1.4e-05,0,7.57,NORMAL,0,3.43,0.977,STANDARD
SCN-00013,NORMAL_TELEMETRY,1551.78,FLIGHT_CONTROL,ROUTINE,1,1000.0,20.32,0,0,0,0,0,0,0.000157,0,9.69,NORMAL,0,2.86,0.864,STANDARD
SCN-00014,NORMAL_TELEMETRY,504.66,NAVIGATION_UPDATE,CRITICAL,3,3000.0,52.51,0,0,0,0,0,0,0.00016,0,1.31,NORMAL,0,2.87,0.925,STANDARD
SCN-00015,NORMAL_TELEMETRY,1748.31,HEADING,ROUTINE,1,5000.0,18.74,0,0,0,0,0,0,0.000194,0,11.12,NORMAL,0,12.73,0.873,STANDARD
SCN-00016,NORMAL_TELEMETRY,2586.27,NAVIGATION_UPDATE,ROUTINE,1,500.0,14.06,0,0,0,0,0,0,8.5e-05,0,11.49,NORMAL,0,14.93,0.928,STANDARD
SCN-00017,NORMAL_TELEMETRY,3458.8,ALTITUDE,ROUTINE,1,2000.0,16.97,0,0,0,0,0,0,0.000117,0,6.03,NORMAL,0,12.79,0.872,STANDARD
SCN-00018,NORMAL_TELEMETRY,3364.94,ALTITUDE,ROUTINE,1,500.0,37.73,0,0,0,0,0,0,0.000124,0,5.03,NORMAL,0,8.76,0.923,STANDARD
SCN-00019,NORMAL_TELEMETRY,1935.48,HEADING,ROUTINE,1,1000.0,19.61,0,0,0,0,0,0,2e-06,0,7.45,NORMAL,0,8.44,0.864,STANDARD
SCN-00020,NORMAL_TELEMETRY,2354.31,ALTITUDE,IMPORTANT,2,2000.0,53.45,0,0,0,0,0,0,0.000167,0,8.44,NORMAL,0,9.18,0.988,STANDARD
SCN-00021,LOW_REPLAY_PROBE,732.95,FLIGHT_CONTROL,ROUTINE,1,2000.0,56.25,1,0,0,0,0,0,0.000397,4,26.9,ELEVATED,1,30.89,0.95,BALANCED
SCN-00022,LOW_REPLAY_PROBE,1986.05,HEADING,CRITICAL,3,5000.0,31.87,1,0,0,0,0,0,0.000101,4,33.47,ELEVATED,1,24.72,0.954,BALANCED
SCN-00023,LOW_REPLAY_PROBE,3098.53,FLIGHT_CONTROL,IMPORTANT,2,500.0,11.15,3,0,0,0,0,0,0.000272,1,27.55,ELEVATED,1,36.18,0.961,BALANCED
SCN-00024,LOW_REPLAY_PROBE,1195.87,ALTITUDE,IMPORTANT,2,1000.0,41.68,2,1,0,0,0,0,0.00049,5,37.87,ELEVATED,1,20.45,0.953,BALANCED
SCN-00025,LOW_REPLAY_PROBE,802.52,ALTITUDE,IMPORTANT,2,2000.0,13.76,3,0,0,0,0,0,0.000189,14,28.29,ELEVATED,1,34.77,0.972,BALANCED
SCN-00026,LOW_REPLAY_PROBE,3540.78,ALTITUDE,CRITICAL,3,3000.0,23.05,1,1,0,0,0,0,0.000476,3,37.79,ELEVATED,1,24.7,0.931,BALANCED
SCN-00027,LOW_REPLAY_PROBE,2589.95,AIRCRAFT_STATUS,ROUTINE,1,5000.0,24.01,2,1,0,0,0,0,0.000202,13,22.03,ELEVATED,1,36.66,0.925,BALANCED
SCN-00028,LOW_REPLAY_PROBE,690.62,ALTITUDE,CRITICAL,3,1000.0,28.72,3,1,0,0,0,0,0.000303,13,27.87,ELEVATED,1,32.55,0.928,BALANCED
SCN-00029,LOW_REPLAY_PROBE,1703.47,NAVIGATION_UPDATE,CRITICAL,3,500.0,38.85,2,1,0,0,0,0,0.000184,10,30.37,ELEVATED,1,27.96,0.88,BALANCED
SCN-00030,LOW_REPLAY_PROBE,2200.59,ALTITUDE,CRITICAL,3,200.0,20.61,3,1,0,0,0,0,0.00019,6,24.65,ELEVATED,1,20.83,0.988,BALANCED
SCN-00031,LOW_REPLAY_PROBE,2802.31,NAVIGATION_UPDATE,ROUTINE,1,5000.0,53.74,3,0,0,0,0,0,0.000198,0,38.07,ELEVATED,1,35.49,0.974,BALANCED
SCN-00032,LOW_REPLAY_PROBE,2589.39,ALTITUDE,ROUTINE,1,5000.0,7.76,1,0,0,0,0,0,0.000367,10,39.1,ELEVATED,1,36.05,0.936,BALANCED
SCN-00033,LOW_REPLAY_PROBE,988.55,NAVIGATION_UPDATE,CRITICAL,3,5000.0,29.53,1,1,0,0,0,0,0.000436,8,35.78,ELEVATED,1,29.38,0.938,BALANCED
SCN-00034,LOW_REPLAY_PROBE,1953.4,HEADING,ROUTINE,1,1000.0,19.94,2,0,0,0,0,0,0.000253,4,34.72,ELEVATED,1,21.16,0.907,BALANCED
SCN-00035,LOW_REPLAY_PROBE,1508.48,AIRCRAFT_STATUS,IMPORTANT,2,1000.0,50.81,2,0,0,0,0,0,0.000477,9,35.56,ELEVATED,1,35.36,0.983,BALANCED
SCN-00036,LOW_REPLAY_PROBE,3025.82,FLIGHT_CONTROL,CRITICAL,3,5000.0,54.38,2,0,0,0,0,0,0.000112,10,34.04,ELEVATED,1,34.37,0.951,BALANCED
SCN-00037,LOW_REPLAY_PROBE,1176.64,FLIGHT_CONTROL,ROUTINE,1,500.0,54.88,3,0,0,0,0,0,0.000447,5,22.91,ELEVATED,1,26.82,0.88,BALANCED
SCN-00038,LOW_REPLAY_PROBE,3418.6,HEADING,IMPORTANT,2,5000.0,18.87,1,1,0,0,0,0,0.00019,2,36.06,ELEVATED,1,31.73,0.956,BALANCED
SCN-00039,LOW_REPLAY_PROBE,2800.05,AIRCRAFT_STATUS,ROUTINE,1,1000.0,18.12,2,0,0,0,0,0,0.000407,5,32.91,ELEVATED,1,37.35,0.951,BALANCED
SCN-00040,LOW_REPLAY_PROBE,2161.48,HEADING,ROUTINE,1,500.0,36.83,2,1,0,0,0,0,0.000337,7,23.83,ELEVATED,1,33.9,0.969,BALANCED
SCN-00041,AUTH_FAILURE_PROBE,2983.35,FLIGHT_CONTROL,ROUTINE,1,500.0,24.1,1,4,0,1,0,0,0.000695,15,30.11,ELEVATED,1,44.22,0.939,BALANCED
SCN-00042,AUTH_FAILURE_PROBE,877.91,ALTITUDE,CRITICAL,3,3000.0,14.69,1,5,0,1,1,0,0.000326,7,44.61,ELEVATED,1,26.73,0.973,BALANCED
SCN-00043,AUTH_FAILURE_PROBE,994.57,FLIGHT_CONTROL,IMPORTANT,2,5000.0,23.5,1,4,0,1,0,0,0.000348,8,34.81,ELEVATED,1,42.61,0.948,BALANCED
SCN-00044,AUTH_FAILURE_PROBE,1102.34,FLIGHT_CONTROL,ROUTINE,1,1000.0,9.71,1,5,0,1,1,0,0.000414,0,29.86,ELEVATED,1,29.43,0.947,BALANCED
SCN-00045,AUTH_FAILURE_PROBE,2674.37,HEADING,CRITICAL,3,3000.0,35.44,1,5,0,1,1,0,0.00029,8,32.61,ELEVATED,1,39.43,0.894,BALANCED
