step_index,timestamp_sec,flight_phase,message_type,criticality,latency_budget_ms,system_config,ai_threat_level,ai_threat_score,ai_confidence,is_anomaly,anomaly_score,forecast_trend,preemptive_flag,previous_construction,selected_construction,transition_type,dwell_counter,safety_override_triggered,downgrade_blocked,explainable_reason,ai_inference_time_ms,policy_decision_time_ms,measured_handshake_latency_ms,measured_encap_latency_ms,measured_sign_latency_ms,measured_total_latency_ms,energy_cost_uj,security_margin_bits,deadline_met,scenario_id,scenario_name
1,0.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9536,False,20.62,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-BALANCED-V1,INITIAL,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,27.7968,0.0483,8.2,0.052,0.04,36.1371,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
2,2.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9536,False,20.58,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,23.2833,0.0361,0.0,0.052,0.04,23.4114,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
3,4.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9537,False,20.69,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,16.3986,0.0488,0.0,0.052,0.04,16.5394,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
4,6.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9537,False,20.77,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,21.7708,0.0534,0.0,0.052,0.04,21.9162,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
5,8.0,CLIMB,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9536,False,20.72,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,11.7175,0.0575,0.0,0.052,0.04,11.867,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
6,10.0,CLIMB,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,10.04,0.954,False,21.04,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,22.0636,0.0511,0.0,0.052,0.04,22.2067,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
7,12.0,CLIMB,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.86,0.9539,False,20.93,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,33.3583,0.075,0.0,0.052,0.04,33.5253,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
8,14.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,AI_ADAPTIVE,NORMAL,8.66,0.9818,False,20.4,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,DOWNGRADE_HELD,1,False,False,Mode C: Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied. [Hysteresis hold step 1/3],41.2568,0.0575,0.0,0.052,0.04,41.4063,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
9,16.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,AI_ADAPTIVE,NORMAL,8.48,0.9818,False,20.69,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,DOWNGRADE_HELD,2,False,False,Mode C: Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied. [Hysteresis hold step 2/3],31.963,0.035,0.0,0.052,0.04,32.09,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
10,18.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,AI_ADAPTIVE,NORMAL,8.58,0.9817,False,20.19,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-STANDARD-V1,DOWNGRADE_EXECUTED,0,False,False,Mode C: Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,24.5372,0.049,4.5,0.045,0.035,29.1662,120.0,128,True,S01_NORMAL,S01: Normal Cruise Operation
11,20.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,AI_ADAPTIVE,NORMAL,8.58,0.9818,False,20.38,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,11.0502,0.0496,0.0,0.045,0.035,11.1798,120.0,128,True,S01_NORMAL,S01: Normal Cruise Operation
12,22.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,AI_ADAPTIVE,NORMAL,8.58,0.9818,False,20.13,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,34.9771,0.0471,0.0,0.045,0.035,35.1042,120.0,128,True,S01_NORMAL,S01: Normal Cruise Operation
13,24.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,AI_ADAPTIVE,NORMAL,8.58,0.9817,False,20.33,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,6.5589,0.052,0.0,0.045,0.035,6.6909,120.0,128,True,S01_NORMAL,S01: Normal Cruise Operation
14,26.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,AI_ADAPTIVE,NORMAL,8.78,0.9817,False,20.08,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,22.1478,0.0553,0.0,0.045,0.035,22.2831,120.0,128,True,S01_NORMAL,S01: Normal Cruise Operation
15,28.0,DESCENT,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9536,False,20.65,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-BALANCED-V1,ESCALATION,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,6.747,0.0473,8.2,0.052,0.04,15.0863,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
16,30.0,DESCENT,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9539,False,20.71,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,18.1784,0.0484,0.0,0.052,0.04,18.3188,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
