step_index,timestamp_sec,flight_phase,message_type,criticality,latency_budget_ms,observed_packet_rate_hz,channel_bit_error_rate,replay_attempt_count,auth_failure_count,integrity_failure_count,aad_tamper_count,transcript_anomaly_count,ai_threat_level,ai_threat_score,ai_confidence,confidence_status,anomaly_score,anomaly_severity,is_anomaly,forecast_trend,forecast_rate_of_change,preemptive_flag,previous_construction,selected_construction,transition_type,dwell_counter,safety_override_triggered,explainable_reason,measured_handshake_latency_ms,measured_encap_latency_ms,measured_sign_latency_ms,measured_total_latency_ms,security_margin_bits,energy_cost_uj,deadline_met,scenario_id,scenario_name
1,0.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,25.0,0.0001,0,0,0,0,0,NORMAL,9.15,0.9539,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.0,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-BALANCED-V1,INITIAL,0,False,Mode C: Initial profile established: ADAPTIVE-BALANCED-V1.,58.8785,2.1022,0.3151,61.2958,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
2,2.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,25.596007992385182,0.00015000000000000001,0,0,0,0,0,NORMAL,10.04,0.9544,HIGH_CONFIDENCE,18.24,NOMINAL,False,MODERATE_INCREASE,0.89,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,8.0795,0.3063,0.823,1.1293,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
3,4.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,26.16825502692595,0.0002,0,0,0,0,0,NORMAL,9.96,0.9548,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.244,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,17.2405,0.3364,0.3012,0.6376,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
4,6.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,26.693927420185105,0.0001,0,0,0,0,0,NORMAL,9.06,0.954,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.273,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,12.001,0.2783,0.1893,0.4676,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
5,8.0,GROUND_OPS,FLIGHT_PLAN,IMPORTANT,5000.0,27.152068272698568,0.00015000000000000001,0,0,0,0,0,NORMAL,9.95,0.9544,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.064,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,13.3372,0.3723,0.2001,0.5724,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
6,10.0,TAKEOFF,FLIGHT_PLAN,IMPORTANT,5000.0,27.52441295442369,0.0002,0,0,0,0,0,NORMAL,9.87,0.9549,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.073,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,10.4996,0.331,0.2192,0.5502,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
7,12.0,TAKEOFF,FLIGHT_PLAN,IMPORTANT,5000.0,27.796117257901678,0.0001,0,0,0,0,0,NORMAL,9.06,0.954,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.084,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,9.3203,0.2909,0.1887,0.4796,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
8,14.0,TAKEOFF,FLIGHT_PLAN,IMPORTANT,5000.0,27.95634918996538,0.00015000000000000001,0,0,0,0,0,NORMAL,9.95,0.9545,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.016,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,8.0142,0.2668,0.1883,0.45509999999999995,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
9,16.0,TAKEOFF,FLIGHT_PLAN,IMPORTANT,5000.0,27.998720809124514,0.0002,0,0,0,0,0,NORMAL,9.84,0.9549,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.032,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,11.2387,0.3459,0.9843,1.3302,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
10,18.0,TAKEOFF,FLIGHT_PLAN,IMPORTANT,5000.0,27.921542892634584,0.0001,0,0,0,0,0,NORMAL,9.06,0.954,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.041,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,16.3075,0.3168,0.2263,0.5431,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
11,20.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,27.727892280477043,0.00015000000000000001,0,0,0,0,0,NORMAL,8.65,0.9821,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.129,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,DOWNGRADE_HELD,1,False,Mode C: Anti-oscillation hold active: candidate ADAPTIVE-STANDARD-V1 requires lower assurance than active ADAPTIVE-BALANCED-V1. Retaining ADAPTIVE-BALANCED-V1 (dwell count 1/3).,15.0353,0.3031,0.191,0.4941,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
12,22.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,27.42548921145877,0.0002,0,0,0,0,0,NORMAL,8.4,0.9822,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.177,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,DOWNGRADE_HELD,2,False,Mode C: Anti-oscillation hold active: candidate ADAPTIVE-STANDARD-V1 requires lower assurance than active ADAPTIVE-BALANCED-V1. Retaining ADAPTIVE-BALANCED-V1 (dwell count 2/3).,19.0563,0.2978,0.2432,0.541,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
13,24.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,27.02638954165345,0.0001,0,0,0,0,0,NORMAL,8.76,0.9818,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.155,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-STANDARD-V1,DOWNGRADE_EXECUTED,0,False,Mode C: Safe downgrade executed from ADAPTIVE-BALANCED-V1 to ADAPTIVE-STANDARD-V1 after 3 consecutive stable low-threat steps. Selected ADAPTIVE-STANDARD-V1 (STANDARD) for ROUTINE traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,11.0318,3.9451,0.2127,15.1896,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
14,26.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,26.546504115464394,0.00015000000000000001,0,0,0,0,0,NORMAL,8.65,0.9821,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.159,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,10.2998,0.2793,0.1961,0.4754,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
15,28.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,26.004964450467714,0.0002,0,0,0,0,0,NORMAL,8.4,0.9822,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.152,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,7.3356,0.2762,0.1957,0.4719,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
